iso,year,fraction
BEN,1992,10
BEN,2002,10
BEN,2013,10
BFA,1996,10
BFA,2006,10
BWA,2001,10
BWA,2011,10
CMR,2005,10
EGY,1986,14.1
EGY,1996,10
EGY,2006,10
ETH,1984,10
ETH,1994,10
ETH,2007,10
GHA,2000,10
GHA,2010,10
GIN,1983,10
GIN,1996,10
GIN,2014,10
LBR,2008,10
MLI,2009,10
MOZ,2007,10
MUS,1990,10
MUS,2000,10
MUS,2011,10
MWI,1998,10
MWI,2008,10
NGA,2010,0.05
RWA,1991,10
RWA,2002,10
RWA,2012,10
SEN,1988,10
SEN,2002,10
SEN,2013,10
SLE,2004,10
TGO,1970,1
TGO,2010,10
UGA,1991,10
UGA,2002,10
UGA,2014,10
ZAF,1996,10
ZAF,2001,10
ZAF,2016,5.8
ZMB,2000,10
ZMB,2010,10
