iso,year
BEN,1979
BEN,1992
BEN,2002
BEN,2013
BFA,1985
BFA,1996
BFA,2006
BWA,1981
BWA,1991
BWA,2001
BWA,2011
CMR,1976
CMR,1987
CMR,2005
EGY,1986
EGY,1996
EGY,2006
ETH,1984
ETH,1994
ETH,2007
GHA,1984
GHA,2000
GHA,2010
GIN,1983
GIN,1996
KEN,1969
KEN,1979
KEN,1989
KEN,1999
KEN,2009
LBR,1974
LBR,2008
LSO,1996
LSO,2006
MAR,1982
MAR,1994
MAR,2004
MLI,1987
MLI,1998
MLI,2009
MOZ,1997
MOZ,2007
MWI,1987
MWI,1998
MWI,2008
NGA,2006
NGA,2007
NGA,2008
NGA,2009
NGA,2010
RWA,1991
RWA,2002
RWA,2012
SDN,2008
SEN,1988
SEN,2002
SLE,2004
SSD,2008
TGO,1960
TGO,1970
TGO,2010
TZA,1988
TZA,2002
TZA,2012
UGA,1991
UGA,2002
ZAF,1996
ZAF,2001
ZAF,2007
ZAF,2011
ZMB,1990
ZMB,2000
ZMB,2010
ZWE,2012
