iso,year,pop
ABW,1960,54211.0
ABW,1961,55438.0
ABW,1962,56225.0
ABW,1963,56695.0
ABW,1964,57032.0
ABW,1965,57360.0
ABW,1966,57715.0
ABW,1967,58055.0
ABW,1968,58386.0
ABW,1969,58726.0
ABW,1970,59063.0
ABW,1971,59440.0
ABW,1972,59840.0
ABW,1973,60243.0
ABW,1974,60528.0
ABW,1975,60657.0
ABW,1976,60586.0
ABW,1977,60366.0
ABW,1978,60103.0
ABW,1979,59980.0
ABW,1980,60096.0
ABW,1981,60567.0
ABW,1982,61345.0
ABW,1983,62201.0
ABW,1984,62836.0
ABW,1985,63026.0
ABW,1986,62644.0
ABW,1987,61833.0
ABW,1988,61079.0
ABW,1989,61032.0
ABW,1990,62149.0
ABW,1991,64622.0
ABW,1992,68235.0
ABW,1993,72504.0
ABW,1994,76700.0
ABW,1995,80324.0
ABW,1996,83200.0
ABW,1997,85451.0
ABW,1998,87277.0
ABW,1999,89005.0
ABW,2000,90853.0
ABW,2001,92898.0
ABW,2002,94992.0
ABW,2003,97017.0
ABW,2004,98737.0
ABW,2005,100031.0
ABW,2006,100834.0
ABW,2007,101222.0
ABW,2008,101358.0
ABW,2009,101455.0
ABW,2010,101669.0
ABW,2011,102046.0
ABW,2012,102560.0
ABW,2013,103159.0
ABW,2014,103774.0
ABW,2015,104341.0
ABW,2016,104872.0
ABW,2017,105366.0
ABW,2018,105845.0
AFG,1960,8996973.0
AFG,1961,9169410.0
AFG,1962,9351441.0
AFG,1963,9543205.0
AFG,1964,9744781.0
AFG,1965,9956320.0
AFG,1966,10174836.0
AFG,1967,10399926.0
AFG,1968,10637063.0
AFG,1969,10893776.0
AFG,1970,11173642.0
AFG,1971,11475445.0
AFG,1972,11791215.0
AFG,1973,12108963.0
AFG,1974,12412950.0
AFG,1975,12689160.0
AFG,1976,12943093.0
AFG,1977,13171306.0
AFG,1978,13341198.0
AFG,1979,13411056.0
AFG,1980,13356511.0
AFG,1981,13171673.0
AFG,1982,12882528.0
AFG,1983,12537730.0
AFG,1984,12204292.0
AFG,1985,11938208.0
AFG,1986,11736179.0
AFG,1987,11604534.0
AFG,1988,11618005.0
AFG,1989,11868877.0
AFG,1990,12412308.0
AFG,1991,13299017.0
AFG,1992,14485546.0
AFG,1993,15816603.0
AFG,1994,17075727.0
AFG,1995,18110657.0
AFG,1996,18853437.0
AFG,1997,19357126.0
AFG,1998,19737765.0
AFG,1999,20170844.0
AFG,2000,20779953.0
AFG,2001,21606988.0
AFG,2002,22600770.0
AFG,2003,23680871.0
AFG,2004,24726684.0
AFG,2005,25654277.0
AFG,2006,26433049.0
AFG,2007,27100536.0
AFG,2008,27722276.0
AFG,2009,28394813.0
AFG,2010,29185507.0
AFG,2011,30117413.0
AFG,2012,31161376.0
AFG,2013,32269589.0
AFG,2014,33370794.0
AFG,2015,34413603.0
AFG,2016,35383128.0
AFG,2017,36296400.0
AFG,2018,37172386.0
AGO,1960,5454933.0
AGO,1961,5531472.0
AGO,1962,5608539.0
AGO,1963,5679458.0
AGO,1964,5735044.0
AGO,1965,5770570.0
AGO,1966,5781214.0
AGO,1967,5774243.0
AGO,1968,5771652.0
AGO,1969,5803254.0
AGO,1970,5890365.0
AGO,1971,6040777.0
AGO,1972,6248552.0
AGO,1973,6496962.0
AGO,1974,6761380.0
AGO,1975,7024000.0
AGO,1976,7279509.0
AGO,1977,7533735.0
AGO,1978,7790707.0
AGO,1979,8058067.0
AGO,1980,8341289.0
AGO,1981,8640446.0
AGO,1982,8952950.0
AGO,1983,9278096.0
AGO,1984,9614754.0
AGO,1985,9961997.0
AGO,1986,10320111.0
AGO,1987,10689250.0
AGO,1988,11068050.0
AGO,1989,11454777.0
AGO,1990,11848386.0
AGO,1991,12248901.0
AGO,1992,12657366.0
AGO,1993,13075049.0
AGO,1994,13503747.0
AGO,1995,13945206.0
AGO,1996,14400719.0
AGO,1997,14871570.0
AGO,1998,15359601.0
AGO,1999,15866869.0
AGO,2000,16395473.0
AGO,2001,16945753.0
AGO,2002,17519417.0
AGO,2003,18121479.0
AGO,2004,18758145.0
AGO,2005,19433602.0
AGO,2006,20149901.0
AGO,2007,20905363.0
AGO,2008,21695634.0
AGO,2009,22514281.0
AGO,2010,23356246.0
AGO,2011,24220661.0
AGO,2012,25107931.0
AGO,2013,26015780.0
AGO,2014,26941779.0
AGO,2015,27884381.0
AGO,2016,28842484.0
AGO,2017,29816748.0
AGO,2018,30809762.0
ALB,1960,1608800.0
ALB,1961,1659800.0
ALB,1962,1711319.0
ALB,1963,1762621.0
ALB,1964,1814135.0
ALB,1965,1864791.0
ALB,1966,1914573.0
ALB,1967,1965598.0
ALB,1968,2022272.0
ALB,1969,2081695.0
ALB,1970,2135479.0
ALB,1971,2187853.0
ALB,1972,2243126.0
ALB,1973,2296752.0
ALB,1974,2350124.0
ALB,1975,2404831.0
ALB,1976,2458526.0
ALB,1977,2513546.0
ALB,1978,2566266.0
ALB,1979,2617832.0
ALB,1980,2671997.0
ALB,1981,2726056.0
ALB,1982,2784278.0
ALB,1983,2843960.0
ALB,1984,2904429.0
ALB,1985,2964762.0
ALB,1986,3022635.0
ALB,1987,3083605.0
ALB,1988,3142336.0
ALB,1989,3227943.0
ALB,1990,3286542.0
ALB,1991,3266790.0
ALB,1992,3247039.0
ALB,1993,3227287.0
ALB,1994,3207536.0
ALB,1995,3187784.0
ALB,1996,3168033.0
ALB,1997,3148281.0
ALB,1998,3128530.0
ALB,1999,3108778.0
ALB,2000,3089027.0
ALB,2001,3060173.0
ALB,2002,3051010.0
ALB,2003,3039616.0
ALB,2004,3026939.0
ALB,2005,3011487.0
ALB,2006,2992547.0
ALB,2007,2970017.0
ALB,2008,2947314.0
ALB,2009,2927519.0
